📡 Loading graph from: data/youtube_data.db
Adding edge: b6a46Q8V_9c -> NVH79ehGfY0
Adding edge: b6a46Q8V_9c -> obLZ-yctYok
Adding edge: b6a46Q8V_9c -> zspxDn4-wow
Adding edge: b6a46Q8V_9c -> SqJSGjRH7-s
Adding edge: b6a46Q8V_9c -> biYDckvtLYk
Adding edge: b6a46Q8V_9c -> IZW_aYlMYzU
Adding edge: b6a46Q8V_9c -> X74MRO70kMg
Adding edge: b6a46Q8V_9c -> BFlYwm9khMo
Adding edge: 0xihXAzral0 -> gyC8TNm4kHY
Adding edge: 0xihXAzral0 -> mn8oZhcm3QA
Adding edge: 0xihXAzral0 -> WeF8fnRA_10
Adding edge: 0xihXAzral0 -> NVH79ehGfY0
Adding edge: 0xihXAzral0 -> obLZ-yctYok
Adding edge: 0xihXAzral0 -> Sw4J-cfYRHk
Adding edge: 0xihXAzral0 -> L5fXbIsRR7A
Adding edge: 0xihXAzral0 -> d2Uo33Ijh6M
Adding edge: 0xihXAzral0 -> mmL4kosieGs
Adding edge: 0xihXAzral0 -> biYDckvtLYk
Adding edge: FL0qnz55JH4 -> kyzdN_TRktQ
Adding edge: FL0qnz55JH4 -> Sw4J-cfYRHk
Adding edge: FL0qnz55JH4 -> 1Da-aSbY4Uw
Adding edge: FL0qnz55JH4 -> vBlxvLQax_M
Adding edge: FL0qnz55JH4 -> YniirFla084
Adding edge: FL0qnz55JH4 -> MN_JP4gyBNI
Adding edge: FL0qnz55JH4 -> X74MRO70kMg
Adding edge: FL0qnz55JH4 -> mIYzp5rcTvU
Adding edge: FL0qnz55JH4 -> fFjfTB3If4Q
Adding edge: FL0qnz55JH4 -> hZtnY9Air60
Adding edge: 0eV9R3pVNcg -> SqJSGjRH7-s
Adding edge: 0eV9R3pVNcg -> X74MRO70kMg
Adding edge: 0eV9R3pVNcg -> GZdbv8x65Yo
Adding edge: 0eV9R3pVNcg -> Sw4J-cfYRHk
Adding edge: 0eV9R3pVNcg -> d2Uo33Ijh6M
Adding edge: 0eV9R3pVNcg -> kpCPUJdFYPE
Adding edge: 0eV9R3pVNcg -> KQtZdEZFJmw
Adding edge: 0eV9R3pVNcg -> 7RB3nkFEZiQ
Adding edge: KQtZdEZFJmw -> -235Rf7ItaY
Adding edge: KQtZdEZFJmw -> OwiCxBP9jBs
Adding edge: KQtZdEZFJmw -> MdbfM6Lnsmo
Adding edge: KQtZdEZFJmw -> NVH79ehGfY0
Adding edge: KQtZdEZFJmw -> L5fXbIsRR7A
Adding edge: KQtZdEZFJmw -> nC-2zokoVGw
Adding edge: KQtZdEZFJmw -> S68M4KX_6w8
Adding edge: KQtZdEZFJmw -> opv4gTmAOG4
Adding edge: KQtZdEZFJmw -> svQOVq1h_8M
Adding edge: KQtZdEZFJmw -> UsZHQjCiKIA
Adding edge: X74MRO70kMg -> kyzdN_TRktQ
Adding edge: X74MRO70kMg -> NVH79ehGfY0
Adding edge: X74MRO70kMg -> Ye-VZFF0qLE
Adding edge: X74MRO70kMg -> h0HjktaeEpA
Adding edge: X74MRO70kMg -> L5fXbIsRR7A
Adding edge: X74MRO70kMg -> mmL4kosieGs
Adding edge: X74MRO70kMg -> qRRfksZxLyc
Adding edge: X74MRO70kMg -> svQOVq1h_8M
Adding edge: X74MRO70kMg -> biYDckvtLYk
Adding edge: X74MRO70kMg -> VlDTMIgGbRo
Adding edge: EALkIUCExW0 -> kyzdN_TRktQ
Adding edge: EALkIUCExW0 -> Sw4J-cfYRHk
Adding edge: EALkIUCExW0 -> A59HbF3ofx4
Adding edge: EALkIUCExW0 -> 4yYjeNxlu6U
Adding edge: EALkIUCExW0 -> qui_P7672OA
Adding edge: EALkIUCExW0 -> SqJSGjRH7-s
Adding edge: EALkIUCExW0 -> EpsipbKC6gE
Adding edge: EALkIUCExW0 -> zZcXdcIPlyU
Adding edge: EALkIUCExW0 -> Iua3DINVtKQ
Adding edge: EALkIUCExW0 -> d2Uo33Ijh6M
Adding edge: Mc4t66r54dU -> 9RkeppfNvP0
Adding edge: Mc4t66r54dU -> CAfVvuDyVVw
Adding edge: Mc4t66r54dU -> QbNTPbHMYbA
Adding edge: Mc4t66r54dU -> 7__r4FVj-EI
Adding edge: Mc4t66r54dU -> X1S05ZClQj4
Adding edge: Mc4t66r54dU -> vK6fALsenmw
Adding edge: Mc4t66r54dU -> Z0Hfh5m0_vw
Adding edge: Mc4t66r54dU -> ySLnOdQDa-Y
